Bathrooms,Bedrooms,Condition,Date,Floors,Grade,Id,Nearest,View,Waterfront,Yr Built,Yr Renovated,Zipcode,Lat,Long,Price,Sqft Above,Sqft Basement,Sqft Living,Sqft Living15,Sqft Lot,Sqft Lot15
2.5,3,3,9/2/2014,2,7,13001991,Mid_Nearest,0,0,1/1/2005,0,98108,47.5245,-122.33,207000,1520,0,1520,1460,2550,2550
1.75,2,3,3/18/2015,1,6,13002460,Mid_Nearest,0,0,1/1/1915,0,98108,47.5211,-122.33,205000,580,1160,1740,1440,5100,5100
1.5,3,4,7/7/2014,2,7,13002495,Mid_Nearest,0,0,1/1/1908,0,98108,47.5215,-122.33,295000,1640,0,1640,1240,7222,5100
1.5,3,3,4/17/2015,1,6,16000015,Farthest,0,0,1/1/1985,0,98002,47.3115,-122.209,219950,1070,0,1070,1030,6601,6614
2.25,3,4,10/24/2014,2,7,16000200,Farthest,0,0,1/1/1918,1983,98002,47.311,-122.21,250000,1640,0,1640,1230,4420,6632
1,2,4,12/5/2014,1,7,16000397,Farthest,0,0,1/1/1921,0,98002,47.3089,-122.21,189000,1200,0,1200,1060,9850,5095
1,2,4,3/16/2015,1,7,16000435,Farthest,0,0,1/1/1949,0,98002,47.3098,-122.21,218500,1390,210,1600,1502,8961,6798
1,4,5,3/12/2015,1,6,16000545,Farthest,0,0,1/1/1914,0,98002,47.3098,-122.209,250000,1320,0,1320,1060,11212,6766
2.25,3,3,5/5/2014,1,8,23500180,Mid_Nearest,0,0,1/1/1975,0,98052,47.6912,-122.115,570000,1330,680,2010,2080,6000,8260
2.25,4,3,10/8/2014,1,8,23500190,Mid_Nearest,0,0,1/1/1975,0,98052,47.6913,-122.115,515000,1470,1000,2470,2050,7800,8050
2.5,5,3,10/15/2014,1,8,23500220,Mid_Nearest,0,0,1/1/1975,0,98052,47.6919,-122.115,550120,1520,1100,2620,2030,8050,7676
1.75,3,4,3/16/2015,1,7,23520190,Mid_Nearest,0,0,1/1/1978,0,98052,47.6975,-122.12,490000,1470,0,1470,1800,9750,9600
1.75,3,4,9/9/2014,1,7,23520380,Mid_Nearest,0,0,1/1/1978,0,98052,47.6989,-122.12,539000,1410,380,1790,1820,9860,9555
3.5,5,3,9/11/2014,2,10,31000165,Nearest,2,0,1/1/1958,2010,98040,47.5738,-122.215,1490000,2790,830,3620,2690,7821,9757
2.75,5,4,3/19/2015,1,8,31200020,Nearest,0,0,1/1/1956,0,98040,47.5709,-122.214,1040000,1650,1400,3050,2920,8904,8904
1,2,3,6/18/2014,1,7,34000005,Mid_Farthest,0,0,1/1/1954,0,98136,47.5312,-122.392,343566,1100,0,1100,1240,4200,4000
2,3,4,9/19/2014,1,7,34001160,Mid_Farthest,1,0,1/1/1959,0,98136,47.5289,-122.391,590000,2100,930,3030,1990,9374,6012
2.25,5,3,4/10/2015,1,7,34001304,Mid_Farthest,0,0,1/1/1959,0,98136,47.5305,-122.391,480000,1490,750,2240,2010,5500,6050
1.75,2,3,4/23/2015,1,7,34001540,Mid_Farthest,2,0,1/1/1951,0,98136,47.531,-122.39,573300,870,420,1290,2380,6600,7370
3.25,3,4,3/25/2015,1,8,34001765,Mid_Farthest,1,0,1/1/1977,0,98136,47.53,-122.388,699950,1430,800,2230,2070,5460,5600
1.5,3,5,8/14/2014,1,7,37000335,Mid_Nearest,0,0,1/1/1960,0,98126,47.5144,-122.379,446450,1480,0,1480,1140,7749,5320
1,2,4,2/14/2015,1,7,37000435,Mid_Farthest,0,0,1/1/1955,0,98146,47.5141,-122.377,325000,1130,0,1130,860,5070,6300
1,2,3,10/15/2014,1,6,40000228,Mid_Farthest,0,0,1/1/1939,0,98168,47.4733,-122.281,221900,780,0,780,1860,6727,10124
2.5,5,3,4/14/2015,2,7,40000235,Mid_Farthest,0,0,1/1/2013,0,98168,47.4726,-122.282,380000,2130,0,2130,1500,8428,11810
1,2,1,5/6/2014,1,5,40000362,Mid_Farthest,0,0,1/1/1942,0,98168,47.4739,-122.28,78000,780,0,780,1700,16344,10387
1,2,3,6/4/2014,1,8,40000471,Mid_Farthest,0,0,1/1/1950,0,98168,47.4727,-122.281,170000,1500,0,1500,1700,18540,9355
1,2,3,3/4/2015,1.5,6,40000553,Mid_Farthest,0,0,1/1/1929,0,98168,47.4724,-122.271,250000,1100,300,1400,2250,19570,6500
2.5,4,3,3/19/2015,2,9,40000669,Mid_Farthest,0,0,1/1/2001,0,98168,47.4714,-122.273,499950,2910,0,2910,1730,20067,21420
1,2,3,5/29/2014,1,6,40001065,Mid_Farthest,0,0,1/1/1951,0,98168,47.4711,-122.291,250000,1110,0,1110,2240,26051,12255
1,2,3,8/15/2014,1,5,41000454,Mid_Farthest,0,0,1/1/1928,0,98188,47.4672,-122.291,130000,880,0,880,1410,9000,10000
1,5,5,9/10/2014,1.5,6,42000006,Mid_Farthest,0,0,1/1/1966,0,98168,47.4702,-122.281,235000,1500,0,1500,1520,9282,9639
1,2,4,3/5/2015,1,7,42000065,Mid_Farthest,0,0,1/1/1965,0,98188,47.4689,-122.277,355000,1450,0,1450,1440,9150,10636
1.5,3,3,2/24/2015,1,7,42000127,Mid_Farthest,0,0,1/1/1966,0,98168,47.4703,-122.276,406500,1970,0,1970,2240,10080,10080
4.5,5,3,9/24/2014,2,10,42000130,Mid_Farthest,0,0,1/1/2012,0,98168,47.4702,-122.275,600000,4440,0,4440,2720,9784,10080
2,4,3,6/13/2014,1,6,42000245,Mid_Farthest,0,0,1/1/1920,0,98188,47.4683,-122.281,171000,1020,500,1520,1810,19672,7840
3,5,3,2/21/2015,1,9,46100204,Nearest,3,0,1/1/1957,1991,98040,47.5673,-122.21,1510000,1870,1430,3300,3836,33474,20953
3.5,5,3,6/30/2014,2,10,46100350,Nearest,3,0,1/1/2008,0,98040,47.5665,-122.21,1730000,3410,1590,5000,3360,26540,17398
3.75,4,5,6/17/2014,1.5,11,46100504,Nearest,3,0,1/1/1934,1979,98040,47.5648,-122.21,2030000,2540,1560,4100,3880,22798,18730
1.75,2,3,3/16/2015,1,7,49000051,Mid_Farthest,0,0,1/1/1983,0,98146,47.5088,-122.371,350000,1430,0,1430,1290,7921,8040
1.5,4,4,12/5/2014,1.5,7,49500090,Mid_Farthest,0,0,1/1/1962,0,98059,47.5142,-122.163,372000,1780,0,1780,1350,7914,8069
3,4,3,8/11/2014,2,8,50300090,Farthest,0,0,1/1/2003,0,98042,47.3684,-122.073,398950,3000,0,3000,2520,10297,8366
2.5,4,3,2/12/2015,2,8,50300220,Farthest,0,0,1/1/2004,0,98042,47.3673,-122.072,363000,2180,0,2180,2520,9281,9520
3.5,3,3,11/3/2014,2,7,52000067,Mid_Nearest,0,0,1/1/2012,0,98109,47.6302,-122.344,495000,1100,550,1650,1580,1577,1280
2.5,3,3,1/14/2015,2,7,53500020,Farthest,0,0,1/1/2007,0,98042,47.342,-122.059,248000,1870,0,1870,2130,4046,4800
2.5,4,3,3/9/2015,2,8,53500450,Farthest,0,0,1/1/2014,0,98042,47.343,-122.056,311850,1890,0,1890,2720,4158,4549
2.5,4,3,12/8/2014,2,7,53500760,Farthest,0,0,1/1/2010,0,98042,47.3414,-122.055,287000,2660,0,2660,2390,4082,4876
2.75,3,5,6/26/2014,1.5,8,56000095,Mid_Farthest,2,0,1/1/1929,0,98116,47.5773,-122.406,805000,1600,1000,2600,2260,5875,5492
1,1,3,5/5/2015,1,8,59000201,Mid_Farthest,3,0,1/1/1963,0,98116,47.5782,-122.4,611206,1940,0,1940,2560,6300,6300
1.5,3,4,12/3/2014,1,8,59000250,Mid_Farthest,3,0,1/1/1941,0,98116,47.5787,-122.402,720000,1090,1090,2180,2070,5000,5000
2.75,4,4,9/23/2014,2,7,59000445,Mid_Farthest,0,0,1/1/1940,0,98116,47.5785,-122.402,590000,1540,700,2240,1830,5400,5000
2.25,4,4,12/16/2014,2,8,59500050,Mid_Farthest,0,0,1/1/1988,0,98032,47.3585,-122.286,324900,2010,0,2010,1660,7280,7579
2,3,5,7/8/2014,1,7,65000085,Mid_Nearest,0,0,1/1/1942,0,98126,47.5436,-122.378,430000,830,720,1550,1330,6039,6042
1.75,2,5,6/26/2014,1,7,65000210,Mid_Nearest,0,0,1/1/1924,0,98126,47.5439,-122.379,471000,1240,0,1240,1800,6417,6417
2.5,3,4,8/20/2014,2,8,65000260,Mid_Nearest,2,0,1/1/1912,2001,98126,47.5442,-122.38,830000,2840,530,3370,1500,6550,6550
3,4,5,10/22/2014,1.5,7,65000400,Mid_Farthest,1,0,1/1/1915,0,98136,47.5446,-122.382,570000,1490,0,1490,1990,6766,6526
1,2,3,4/6/2015,1,5,66000070,Mid_Nearest,0,0,1/1/1918,0,98126,47.5486,-122.38,315000,630,0,630,1420,6550,6550
1,3,4,11/20/2014,1.5,6,66000140,Mid_Nearest,0,0,1/1/1925,0,98126,47.5498,-122.381,398000,1480,0,1480,1200,6550,6550
1,2,3,8/7/2014,1,7,66000265,Mid_Nearest,0,0,1/1/1949,2012,98126,47.5478,-122.381,370000,820,0,820,1640,6550,6550
2.25,5,3,5/7/2014,1,7,84000105,Mid_Farthest,0,0,1/1/1962,0,98146,47.4877,-122.335,255000,1030,1030,2060,1010,8632,11680
1.75,3,3,11/20/2014,1,6,84000245,Mid_Farthest,0,0,1/1/1942,0,98146,47.4864,-122.337,190000,1100,0,1100,1350,9452,9452
2,3,5,6/26/2014,1,6,84000335,Mid_Farthest,0,0,1/1/1945,0,98146,47.4851,-122.338,225000,970,730,1700,1560,11475,11475
1.75,4,4,4/13/2015,1,7,87000006,Mid_Nearest,0,0,1/1/1959,0,98055,47.4552,-122.202,275000,1560,120,1680,2000,19405,12900
1,2,3,6/13/2014,1,6,87000213,Mid_Nearest,0,0,1/1/1950,0,98055,47.4492,-122.2,129000,1150,0,1150,1670,30184,19684
0.75,3,2,9/30/2014,1,6,87000245,Mid_Nearest,0,0,1/1/1947,0,98055,47.4518,-122.199,170000,1040,0,1040,1270,42180,24090
2.5,3,3,11/18/2014,2,8,87000283,Mid_Nearest,0,0,1/1/1999,0,98055,47.4492,-122.199,359950,1980,0,1980,1700,7800,20580
2,4,3,10/15/2014,1,8,88000173,Mid_Nearest,0,0,1/1/2008,0,98055,47.457,-122.189,333000,2750,0,2750,1340,9001,11050
1,3,3,4/14/2015,1,6,88000591,Mid_Nearest,0,0,1/1/1962,0,98055,47.4562,-122.193,212000,1000,0,1000,1300,9450,13500
1,3,3,7/14/2014,1,7,88000790,Mid_Nearest,0,0,1/1/1968,1986,98055,47.4562,-122.196,252000,1170,0,1170,1680,9730,10125
1.5,4,3,5/7/2015,1.5,7,91000135,Mid_Nearest,2,0,1/1/1920,1990,98103,47.6857,-122.353,750000,1580,480,2060,1160,4000,4000
1,2,4,9/23/2014,1,7,91000320,Mid_Nearest,0,0,1/1/1925,0,98103,47.6858,-122.352,393000,980,0,980,1260,3350,4000
2.5,4,3,7/29/2014,2,9,97600140,Mid_Nearest,0,0,1/1/2007,0,98006,47.5424,-122.12,800000,2760,170,2930,3230,5000,5778
4,4,3,7/14/2014,2,11,98000060,Mid_Farthest,0,0,1/1/2003,0,98075,47.5852,-121.966,1060000,5320,0,5320,4640,20041,17268
5,4,3,3/24/2015,2,11,98000130,Mid_Farthest,3,0,1/1/2005,0,98075,47.587,-121.966,1430000,4630,0,4630,4630,24054,17584
4,4,3,1/2/2015,2,12,98000150,Mid_Farthest,3,0,1/1/2004,0,98075,47.5874,-121.965,1470000,4930,0,4930,4630,22093,18889
3.75,4,3,8/16/2014,2,11,98000560,Mid_Farthest,0,0,1/1/2004,0,98075,47.5888,-121.971,959900,3550,0,3550,4340,15151,15151
3.5,5,3,4/1/2015,2,11,98000740,Mid_Farthest,0,0,1/1/2003,0,98075,47.5848,-121.969,945000,4380,0,4380,4310,14925,14633
3.75,5,3,10/21/2014,2,11,98000750,Mid_Farthest,0,0,1/1/2004,0,98075,47.5869,-121.967,1170000,4220,0,4220,4630,15959,16531
3.5,4,3,10/1/2014,2,11,98000870,Mid_Farthest,2,0,1/1/2001,0,98075,47.5862,-121.97,1060000,4460,0,4460,4540,16271,17122
5.25,4,3,12/10/2014,2,11,98000950,Mid_Farthest,2,0,1/1/2005,0,98075,47.5871,-121.969,1060000,4140,0,4140,4440,14757,15523
3.25,4,3,5/13/2014,2,11,98000960,Mid_Farthest,0,0,1/1/2003,0,98075,47.5868,-121.968,1050000,4400,0,4400,4440,16625,15523
3.5,4,3,4/27/2015,2,11,98000980,Mid_Farthest,0,0,1/1/2002,0,98075,47.5859,-121.968,1100000,4570,0,4570,4700,16219,16500
3.5,5,3,10/7/2014,2,11,98001000,Mid_Farthest,2,0,1/1/2001,0,98075,47.5863,-121.967,1030000,5050,0,5050,4570,16500,16500
4.25,5,3,8/18/2014,2,11,98001070,Mid_Farthest,4,0,1/1/2004,0,98075,47.5878,-121.969,1170000,4610,0,4610,4400,13252,15154
4,4,3,7/8/2014,2,10,98020140,Mid_Farthest,0,0,1/1/2004,0,98075,47.5833,-121.97,765000,3010,0,3010,3490,7221,7518
2.5,4,3,10/30/2014,2,10,98020220,Mid_Farthest,0,0,1/1/2005,0,98075,47.582,-121.971,750000,3210,0,3210,3740,8938,8108
2.75,5,3,2/3/2015,2,10,98020300,Mid_Farthest,0,0,1/1/2005,0,98075,47.5825,-121.97,759000,3490,0,3490,3480,8230,7331
2.5,4,3,5/20/2014,2,10,98020310,Mid_Farthest,0,0,1/1/2004,0,98075,47.5823,-121.97,730000,3230,0,3230,3480,7331,7447
4,4,3,1/23/2015,2,10,98020350,Mid_Farthest,0,0,1/1/2004,0,98075,47.5816,-121.97,720000,3200,0,3200,3480,7708,7944
3.75,4,3,7/21/2014,2,10,98020410,Mid_Farthest,0,0,1/1/2005,0,98075,47.5818,-121.972,802500,3320,0,3320,3740,8030,8030
2.5,4,3,8/28/2014,2,10,98020480,Mid_Farthest,0,0,1/1/2005,0,98075,47.581,-121.971,885000,4090,0,4090,3510,11225,8762
3.5,4,3,4/14/2015,2,10,98020630,Mid_Farthest,0,0,1/1/2004,0,98075,47.5805,-121.97,889000,4070,0,4070,4080,10976,10106
4,4,3,10/13/2014,2,10,98030140,Mid_Farthest,0,0,1/1/2007,0,98075,47.5818,-121.973,785500,3280,0,3280,3730,8448,8030
3.5,3,3,2/12/2015,2,10,98030160,Mid_Farthest,0,0,1/1/2008,0,98075,47.5807,-121.972,797000,3500,0,3500,3510,9473,7833
3.5,4,3,7/11/2014,2,10,98030400,Mid_Farthest,0,0,1/1/2006,0,98075,47.5828,-121.972,790000,3560,0,3560,3660,6098,6846
3.25,4,3,6/10/2014,2,10,98030530,Mid_Farthest,0,0,1/1/2006,0,98075,47.5834,-121.972,745000,3490,0,3490,3450,7024,6866
3.75,5,3,12/15/2014,2,10,98030630,Mid_Farthest,0,0,1/1/2005,0,98075,47.5837,-121.971,852500,3830,0,3830,3570,8131,7290
2.5,4,3,3/11/2015,2,10,98030660,Mid_Farthest,0,0,1/1/2006,0,98075,47.5841,-121.971,815000,3880,0,3880,3280,7208,7221
4,4,3,4/28/2015,2,10,98300230,Farthest,0,0,1/1/2014,0,98024,47.5885,-121.939,1460000,4620,0,4620,4620,130208,131007
1,3,3,11/12/2014,1,7,100100050,Mid_Nearest,0,0,1/1/1955,0,98155,47.7748,-122.304,275000,1320,0,1320,1320,11090,8319
2.25,3,3,10/20/2014,2,7,100300280,Mid_Farthest,0,0,1/1/2010,0,98059,47.4867,-122.152,355000,1430,0,1430,1639,4777,3854
2.5,3,3,11/21/2014,2,7,100300500,Mid_Farthest,0,0,1/1/2009,0,98059,47.4874,-122.152,333000,1520,0,1520,1820,3041,3229
2.5,3,3,9/25/2014,2,7,100300530,Mid_Farthest,0,0,1/1/2009,0,98059,47.4876,-122.153,330000,1520,0,1520,1820,3003,3030
2.5,3,3,9/11/2014,2,7,100500020,Farthest,0,0,1/1/1994,0,98003,47.2827,-122.302,250000,1610,0,1610,1660,6600,7689
1,3,3,8/13/2014,1,6,100600320,Farthest,0,0,1/1/1968,0,98023,47.3018,-122.369,213950,1430,0,1430,1050,7000,7700
1.5,3,4,8/4/2014,1,7,100600550,Farthest,0,0,1/1/1976,0,98023,47.3025,-122.37,226500,900,400,1300,1430,7370,7500
1.75,3,4,3/24/2015,1,7,100600860,Farthest,0,0,1/1/1975,0,98023,47.3011,-122.369,237500,1050,0,1050,1360,7854,7668
1.75,3,4,7/22/2014,1,7,103000116,Nearest,0,0,1/1/1946,0,98115,47.6733,-122.301,645000,1130,940,2070,1800,5500,4400
2.25,3,4,5/15/2014,2,7,103400160,Farthest,0,0,1/1/1991,0,98003,47.2857,-122.3,263000,1590,0,1590,1590,7748,7606
1.75,3,3,2/24/2015,1,7,104500730,Farthest,0,0,1/1/1981,0,98023,47.3141,-122.355,115000,1080,0,1080,1380,7942,8244
2,4,3,10/3/2014,1.5,7,104501040,Farthest,0,0,1/1/1983,0,98023,47.3127,-122.354,249900,1500,0,1500,1500,7854,7334
2.25,3,3,2/11/2015,1,7,104510180,Farthest,0,0,1/1/1984,0,98023,47.3124,-122.352,230000,1150,350,1500,1500,7210,7210
2,3,4,11/19/2014,2,7,104510230,Farthest,0,0,1/1/1984,0,98023,47.3128,-122.351,252000,1540,0,1540,1500,7210,7210
2.5,3,3,9/25/2014,1,7,104510340,Farthest,0,0,1/1/1986,0,98023,47.3124,-122.351,276200,1180,300,1480,1690,7210,7396
2.25,3,3,6/4/2014,1,7,104510440,Farthest,0,0,1/1/1984,0,98023,47.3146,-122.351,219950,1150,350,1500,1540,7615,8649
2.5,3,3,10/8/2014,2,7,104530110,Farthest,0,0,1/1/1986,0,98023,47.3103,-122.36,268000,1850,0,1850,1700,6676,6663
2,3,3,8/27/2014,1,7,104530240,Farthest,0,0,1/1/1986,0,98023,47.3096,-122.357,225000,1320,0,1320,1336,5665,7080
3.5,4,3,5/16/2014,2,7,104530490,Farthest,0,0,1/1/1986,0,98023,47.3087,-122.354,248000,1130,720,1850,1280,6519,6664
2.25,3,3,8/12/2014,2,7,104540820,Farthest,0,0,1/1/1987,0,98023,47.3116,-122.358,221000,1430,0,1430,1600,5999,5999
2.25,3,3,12/3/2014,1,7,104540840,Farthest,0,0,1/1/1986,0,98023,47.3113,-122.358,240000,1140,320,1460,1490,5818,6031
2.5,4,3,3/30/2015,2,7,104550520,Farthest,0,0,1/1/1988,0,98023,47.3082,-122.358,270000,1750,0,1750,1940,6397,6502
2,4,3,1/20/2015,1,7,104550540,Farthest,0,0,1/1/1989,0,98023,47.3085,-122.358,259950,1610,0,1610,1960,6650,6650
2.5,4,3,5/20/2014,2,7,104550580,Farthest,0,0,1/1/1989,0,98023,47.3078,-122.358,260000,1990,0,1990,1862,6671,6566
2.5,3,3,7/28/2014,2,7,104550660,Farthest,0,0,1/1/1989,0,98023,47.3065,-122.358,275000,1870,0,1870,1970,6821,6821
2.75,4,3,7/25/2014,2,7,104550690,Farthest,0,0,1/1/1989,0,98023,47.3061,-122.359,282000,2390,0,2390,1980,7330,6735
2.5,3,3,12/1/2014,2,8,104550740,Farthest,0,0,1/1/1993,0,98023,47.3061,-122.36,299000,2450,0,2450,1960,7062,7200
2,3,3,7/28/2014,1,8,104550750,Farthest,0,0,1/1/1993,0,98023,47.3061,-122.361,241000,1520,0,1520,1890,7131,7379
2.5,4,3,6/10/2014,2,7,104560010,Farthest,0,0,1/1/1990,0,98023,47.3063,-122.359,278500,1940,0,1940,2060,6206,7092
2.75,4,4,7/18/2014,2,7,104560120,Farthest,0,0,1/1/1990,0,98023,47.3075,-122.359,304400,2140,0,2140,1960,8100,7002
3,4,3,5/22/2014,2,7,104560280,Farthest,0,0,1/1/1990,0,98023,47.3083,-122.36,273000,1990,0,1990,1910,6180,6180
2.75,4,3,9/17/2014,2,7,104560540,Farthest,0,0,1/1/1989,0,98023,47.3071,-122.36,310000,2370,0,2370,1960,7320,7320
1.75,3,4,6/19/2014,1,6,106000015,Mid_Farthest,0,0,1/1/1948,0,98117,47.701,-122.368,435000,1310,0,1310,1420,8065,8100
1,3,3,8/26/2014,1,7,106000044,Mid_Farthest,0,0,1/1/1950,0,98177,47.7013,-122.368,399950,1070,400,1470,1440,7930,8100
1,2,4,10/31/2014,1,7,106000320,Mid_Farthest,0,0,1/1/1948,0,98177,47.7019,-122.366,401000,840,0,840,1100,8100,8220
1,3,4,6/24/2014,1,7,106000395,Mid_Farthest,0,0,1/1/1951,0,98177,47.704,-122.367,405000,1410,0,1410,1170,8053,8042
3.5,4,3,12/9/2014,3,8,108000127,Mid_Farthest,0,0,1/1/2008,0,98177,47.7027,-122.361,456500,2000,0,2000,1440,2309,1548
1.75,3,3,3/16/2015,1,7,109000040,Mid_Nearest,0,0,1/1/1965,0,98155,47.7755,-122.299,305000,1460,0,1460,2200,7862,9293
2.5,4,4,5/6/2015,1,8,109200140,Farthest,0,0,1/1/1979,0,98023,47.2979,-122.371,299000,1360,940,2300,1910,8100,7630
1.75,3,4,8/20/2014,1,7,109200390,Farthest,0,0,1/1/1980,0,98023,47.2977,-122.367,245000,1480,0,1480,1830,3900,6956
1.75,3,4,10/20/2014,1,7,109200390,Farthest,0,0,1/1/1980,0,98023,47.2977,-122.367,250000,1480,0,1480,1830,3900,6956
1.75,3,3,5/6/2014,1,8,109200730,Farthest,0,0,1/1/1979,0,98023,47.2975,-122.37,218000,1320,530,1850,1940,7684,7630
2.25,4,4,11/11/2014,2,8,109210280,Farthest,0,0,1/1/1979,0,98023,47.2957,-122.37,220000,1950,0,1950,1910,7280,7280
2,3,3,10/29/2014,1,7,109210460,Farthest,0,0,1/1/1986,0,98023,47.2958,-122.368,270000,1390,940,2330,1570,8000,7227
1.5,5,5,3/17/2015,1,7,110000040,Mid_Farthest,0,0,1/1/1960,0,98032,47.3712,-122.289,278000,1090,730,1820,1820,8712,8712
